time_s,Kqv,Q0,V0
0,0,13.23,230.51
15,0,12.78,230.21
30,0,12.67,230.45
45,0,13.28,230.6
60,0,12.68,230.22
75,0,12.85,230.62
90,0,13.16,230.53
105,0,12.73,230.22
120,0,12.72,230.39
135,0,13.17,230.69
150,0,13.18,230.42
165,0,12.8,230.21
180,0,12.64,230.36
195,0,12.94,230.64
210,0,13.19,230.67
225,0,13.18,230.62
240,0,13.26,230.61
255,0,13.14,230.39
270,0,13.03,230.29
285,0,13.14,230.55
300,0,13.26,230.66
315,0,13.13,230.68
330,0,13.02,230.69
345,0,12.71,230.55
360,0,12.78,230.55
375,0,12.76,230.54
390,0,12.88,230.68
405,0,13.14,230.68
420,0,13.12,230.69
435,0,12.77,230.56
450,0,12.7,230.5
465,0,12.87,230.67
480,0,13.04,230.69
495,0,13.19,230.62
510,0,13.19,230.67
525,0,12.81,230.6
540,0,12.64,230.37
555,0,12.63,230.35
570,0,12.71,230.51
585,0,13,230.68
600,0,13.15,230.56
615,0,12.89,230.25
630,0,12.66,230.38
645,0,13.11,230.66
660,0,12.75,230.21
675,0,12.59,230.43
690,0,13.13,230.69
705,0,12.94,230.32
720,0,12.62,230.33
735,0,12.96,230.69
750,0,12.9,230.25
765,0,12.91,230.68
780,0,12.81,230.24
795,0,12.82,230.62
810,0,12.98,230.37
825,0,12.66,230.4
840,0,13.08,230.69
855,0,13,230.33
