time_s,Kqv,Q0,V0
0,0.69,53.63,230.48
15,0.67,54.06,230.41
30,0.72,53.99,230.18
45,0.69,54.41,230.3
60,0.67,52.65,230.52
75,0.72,53.64,230.4
90,0.69,54.02,230.2
105,0.6,54.71,230.19
120,0.7,54.61,230.36
135,0.69,55.23,230.42
150,0.6,55.23,230.43
165,0.65,55.74,230.51
180,0.72,56.55,230.49
195,0.68,55.08,230.47
210,0.65,55.3,230.38
225,0.65,54.85,230.33
240,0.59,55.41,230.27
255,0.62,55.98,230.14
270,0.75,56.76,230.14
285,0.67,55.08,230.14
300,0.76,55.33,230.22
315,0.67,55.2,230.34
330,0.73,55.23,230.3
345,0.76,55.76,230.15
360,0.59,54.67,230.14
375,0.71,55.42,230.22
390,0.67,54.36,230.3
405,0.73,54.35,230.41
420,0.58,54.54,230.34
435,0.6,53.32,230.16
450,0.79,53.56,230.17
465,0.73,55.02,230.18
480,0.78,54.71,230.14
495,0.64,55.4,230.23
510,0.56,55.31,230.46
525,0.69,54.58,230.46
540,0.88,55.14,230.17
555,0.78,55.85,230.38
570,0.68,55.55,230.41
585,0.65,55.49,230.15
600,0.64,55.56,230.28
615,0.62,55.66,230.49
630,0.61,55.35,230.23
645,0.67,55.3,230.46
660,0.58,55.17,230.22
675,0.67,55.86,230.45
690,0.7,55.83,230.18
705,0.52,55.58,230.5
720,0.82,55.84,230.17
735,0.6,55.05,230.32
750,0.47,55.8,230.5
765,0.31,55.61,230.19
780,0.53,53.51,230.44
795,0.69,54.38,230.39
810,0.52,56.53,230.16
825,0.62,55.41,230.33
840,0.79,54.75,230.51
855,0.65,55.24,230.34
870,0.51,55.84,230.17
885,0.68,55.94,230.37
900,0.63,54.75,230.51
915,0.64,54.97,230.37
930,0.72,56.24,230.16
945,0.34,55.28,230.46
960,0.55,55.82,230.43
975,0.74,55.42,230.2
990,0.61,55.98,230.29
1005,0.6,54.22,230.5
1020,0.67,55.65,230.4
1035,0.61,55.3,230.21
1050,0.69,55.57,230.2
