time_s,npv,P0,nqv,Q0,V0
0,1.98,1498.44,0,12.15,230.02
15,1.98,1496.38,0,12.09,229.93
30,1.98,1495.19,0,11.99,229.87
45,1.98,1496.12,0,11.95,229.96
60,1.98,1495.37,0,11.98,229.91
75,1.98,1494.63,0,12.01,229.86
90,1.98,1495.04,0,11.98,229.89
105,1.98,1497.37,0,12.03,230.07
120,1.98,1498.18,0,11.97,230.14
135,1.98,1494.72,0,11.97,229.87
150,1.98,1497.35,0,12.04,230.08
165,1.98,1497.77,0,12.01,230.11
180,1.98,1494.64,0,12.02,229.87
195,1.98,1495.88,0,12.01,229.96
210,1.98,1498.3,0,12.02,230.15
225,1.98,1495.88,0,12.03,229.97
240,1.98,1494.58,0,12.0,229.86
255,1.98,1497.9,0,12.0,230.12
270,1.98,1496.91,0,12.08,230.04
285,1.98,1494.77,0,12.06,229.87
300,1.98,1495.37,0,12.04,229.91
315,1.98,1497.4,0,12.0,230.07
330,1.98,1497.78,0,12.08,230.1
345,1.98,1498.03,0,12.04,230.11
360,1.98,1498.61,0,12.08,230.16
375,1.98,1498.49,0,12.07,230.15
390,1.98,1496.76,0,12.07,230.01
405,1.98,1495.16,0,12.11,229.88
420,1.98,1496.26,0,12.13,229.97
435,1.98,1498.07,0,12.09,230.11
450,1.98,1498.6,0,12.08,230.15
465,1.98,1498.68,0,12.05,230.16
480,1.98,1497.79,0,12.1,230.08
495,1.98,1497.64,0,12.01,230.07
510,1.98,1495.99,0,12.07,229.95
525,1.98,1495.08,0,12.09,229.87
540,1.98,1496.57,0,12.09,229.99
555,1.98,1497.39,0,12.14,230.05
570,1.98,1498.03,0,12.1,230.11
585,1.98,1496.96,0,12.03,230.02
600,1.98,1495.77,0,12.05,229.93
615,1.98,1495.11,0,12.11,229.87
630,1.98,1497.11,0,12.11,230.03
645,1.98,1498.89,0,12.12,230.17
660,1.98,1497.68,0,12.1,230.08
675,1.98,1495.3,0,12.04,229.89
690,1.98,1497.37,0,12.09,230.05
705,1.98,1497.68,0,12.09,230.08
720,1.98,1494.98,0,12.06,229.87
735,1.98,1495.58,0,12.08,229.91
750,1.98,1496.05,0,12.1,229.95
765,1.98,1498.37,0,12.06,230.13
780,1.98,1497.13,0,12.11,230.04
795,1.98,1495.22,0,12.09,229.89
810,1.98,1498.63,0,12.13,230.15
825,1.98,1496.61,0,12.09,230.0
840,1.98,1495.17,0,12.09,229.88
855,1.98,1492.67,0,11.34,230.01
870,1.98,1494.76,0,11.34,230.17
885,1.98,1493.76,0,11.34,230.09
900,1.98,1491.87,0,11.33,229.95
915,1.98,1490.9,0,11.32,229.87
930,1.98,1491.75,0,11.33,229.93
945,1.98,1493.83,0,11.34,230.1
960,1.98,1494.47,0,11.34,230.15
975,1.98,1491.63,0,11.33,229.93
990,1.98,1491.85,0,11.33,229.95
1005,1.98,1493.73,0,11.34,230.1
1020,1.98,1494.7,0,11.35,230.17
1035,1.98,1493.54,0,11.34,230.08
1050,1.98,1492.1,0,11.34,229.97
1065,1.98,1491.42,0,11.34,229.92
1080,1.98,1491.03,0,11.33,229.89
1095,1.98,1491.16,0,11.32,229.9
1110,1.98,1493.42,0,11.33,230.08
1125,1.98,1492.53,0,11.34,230.01
1140,1.98,1491.87,0,11.33,229.96
1155,1.98,1491.37,0,11.33,229.92
1170,1.98,1491.84,0,11.33,229.96
1185,1.98,1493.29,0,11.34,230.07
1200,1.98,1493.53,0,11.34,230.09
1215,1.98,1492.61,0,11.34,230.02
1230,1.98,1490.99,0,11.34,229.9
1245,1.98,1492.06,0,11.34,229.98
1260,1.98,1494.4,0,11.35,230.17
1275,1.98,1494.15,0,11.35,230.15
1290,1.98,1493.45,0,11.34,230.1
1305,1.98,1492.11,0,11.33,229.99
1320,1.98,1490.64,0,11.34,229.88
1335,1.98,1491.01,0,11.35,229.91
1350,1.98,1492.18,0,11.34,230.0
1365,1.98,1494.27,0,11.35,230.17
1380,1.98,1491.65,0,11.33,229.96
1395,1.98,1493.97,0,11.35,230.14
1410,1.98,1492.32,0,11.34,230.02
1425,1.98,1490.63,0,11.34,229.88
1440,1.98,1492.66,0,11.35,230.04
1455,1.98,1493.7,0,11.36,230.13
1470,1.98,1493.87,0,11.36,230.14
1485,1.98,1492.65,0,11.36,230.05
1500,1.98,1493.0,0,11.36,230.07
1515,1.98,1491.71,0,11.35,229.98
1530,1.98,1491.35,0,11.35,229.95
1545,1.98,1490.4,0,11.34,229.87
1560,1.98,1490.54,0,11.33,229.88
1575,1.98,1493.44,0,11.35,230.11
1590,1.98,1493.39,0,11.35,230.12
1605,1.98,1491.01,0,11.34,229.93
1620,1.98,1490.36,0,11.34,229.88
1635,1.98,1490.96,0,11.34,229.92
1650,1.98,1492.54,0,11.34,230.05
1665,1.98,1493.33,0,11.36,230.11
1680,1.98,1493.35,0,11.35,230.11
1695,1.98,1493.69,0,11.36,230.14
1710,1.98,1490.6,0,11.34,229.9
1725,1.98,1490.83,0,11.35,229.92
1740,1.98,1492.79,0,11.35,230.07
1755,1.98,1492.78,0,11.35,230.09
1770,1.98,1491.85,0,11.35,230.03
1785,1.98,1490.52,0,11.36,229.92
1800,1.98,1490.22,0,11.34,229.89
1815,1.98,1491.16,0,11.36,229.96
1830,1.98,1493.31,0,11.36,230.14
1845,1.98,1493.68,0,11.36,230.17
1860,1.98,1492.27,0,11.36,230.06
1875,1.98,1493.38,0,11.38,230.14
1890,1.98,1493.0,0,11.36,230.11
1905,1.98,1491.05,0,11.35,229.96
1920,1.98,1490.18,0,11.35,229.89
1935,1.98,1492.59,0,11.36,230.08
1950,1.98,1493.74,0,11.36,230.17
1965,1.98,1493.43,0,11.36,230.15
1980,1.98,1493.74,0,11.37,230.17
1995,1.98,1493.64,0,11.35,230.17
2010,1.98,1493.17,0,11.36,230.13
2025,1.98,1492.28,0,11.35,230.06
2040,1.98,1493.08,0,11.37,230.13
2055,1.98,1492.49,0,11.37,230.08
2070,1.98,1489.99,0,11.35,229.89
2085,1.98,1491.11,0,11.35,229.97
